20050000 240 47376.00000000002
  1 0.00208333 208.136 297.928
  2 0.00625 190.5 296.499
  3 0.0104167 206.18 301.694
  4 0.0145833 201.33 299.668
  5 0.01875 185.944 300.692
  6 0.0229167 211.924 293.084
  7 0.0270833 192.878 300.644
  8 0.03125 188.616 295.209
  9 0.0354167 210.386 297.379
  10 0.0395833 189.022 296.177
  11 0.04375 189 298.677
  12 0.0479167 210 296.474
  13 0.0520833 189 297.153
  14 0.05625 189 300.567
  15 0.0604167 210 297.276
  16 0.0645833 189.002 298.253
  17 0.06875 189.294 302.319
  18 0.0729167 210.598 303.47
  19 0.0770833 189.918 303.463
  20 0.08125 198.03 302.171
  21 0.0854167 210.106 300.591
  22 0.0895833 189.508 300.592
  23 0.09375 209.896 300.96
  24 0.0979167 198.058 297.335
  25 0.102083 187.57 300.815
  26 0.10625 211.554 300.929
  27 0.110417 189.466 299.03
  28 0.114583 188.998 299.319
  29 0.11875 210.002 297.375
  30 0.122917 189 293.794
  31 0.127083 189 290.414
  32 0.13125 210 292.927
  33 0.135417 189 292.168
  34 0.139583 189 293.932
  35 0.14375 210 300.102
  36 0.147917 189 299.876
  37 0.152083 189.006 296.47
  38 0.15625 209.998 298.724
  39 0.160417 189.368 299.767
  40 0.164583 190.326 296.742
  41 0.16875 210.65 299.004
  42 0.172917 193.988 302.844
  43 0.177083 205.862 301.096
  44 0.18125 203.296 299.208
  45 0.185417 191.126 299.856
  46 0.189583 211.162 308.024
  47 0.19375 189.216 301.752
  48 0.197917 189.002 302.669
  49 0.202083 210 305.338
  50 0.20625 189 306.085
  51 0.210417 189 303.285
  52 0.214583 210 301.336
  53 0.21875 189 298.743
  54 0.222917 189 303.233
  55 0.227083 210 304.623
  56 0.23125 189 303.701
  57 0.235417 189.322 304.225
  58 0.239583 211.188 304.238
  59 0.24375 193.71 300.865
  60 0.247917 206.666 300.406
  61 0.252083 201.2 301.859
  62 0.25625 194.734 300.114
  63 0.260417 209.592 301.184
  64 0.264583 189.542 300.538
  65 0.26875 189.046 301.327
  66 0.272917 210 300.139
  67 0.277083 189 303.424
  68 0.28125 189 306.533
  69 0.285417 210 302.331
  70 0.289583 189 303.601
  71 0.29375 189.004 299.051
  72 0.297917 210.13 300.493
  73 0.302083 189.462 303.137
  74 0.30625 192.826 305.448
  75 0.310417 210.29 299.618
  76 0.314583 189.724 302.096
  77 0.31875 200.468 305.189
  78 0.322917 204.168 304.74
  79 0.327083 192.75 306.513
  80 0.33125 207.276 304.625
  81 0.335417 194.48 303.143
  82 0.339583 192.2 298.647
  83 0.34375 209.93 304.565
  84 0.347917 189.258 303.769
  85 0.352083 189.034 305.47
  86 0.35625 209.998 305.853
  87 0.360417 189.002 304.401
  88 0.364583 189 302.383
  89 0.36875 210 302.47
  90 0.372917 189 299
  91 0.377083 189.004 304.932
  92 0.38125 210.06 303.227
  93 0.385417 189.172 304.337
  94 0.389583 191.056 301.71
  95 0.39375 211.534 302.848
  96 0.397917 189.72 299.846
  97 0.402083 199.994 302.552
  98 0.40625 205.406 304.729
  99 0.410417 188.422 305.708
  100 0.414583 207.196 302.487
  101 0.41875 199.264 308.166
  102 0.422917 190.93 306.72
  103 0.427083 210.77 306.911
  104 0.43125 189.452 305.368
  105 0.435417 189.02 304.076
  106 0.439583 209.998 304.435
  107 0.44375 189.002 298.134
  108 0.447917 189 302.449
  109 0.452083 210 302.19
  110 0.45625 189 307.073
  111 0.460417 189.03 302.314
  112 0.464583 210.026 300.952
  113 0.46875 189.932 298.941
  114 0.472917 192.528 302.363
  115 0.477083 210.554 300.14
  116 0.48125 189.166 301.972
  117 0.485417 201.644 302.309
  118 0.489583 205.286 301.04
  119 0.49375 187.994 298.67
  120 0.497917 208.172 298.554
  121 0.502083 196.086 301.517
  122 0.50625 191.786 308.294
  123 0.510417 209.908 307.219
