# Time-correlated data for fix JJ
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_flux[1]*c_flux[1] c_flux[2]*c_flux[2] c_flux[3]*c_flux[3]
0 100
1 0 1 27948.3 34227.5 1.55547e+06
2 3500 0 0.0 0.0 0.0
3 7000 0 0.0 0.0 0.0
4 10500 0 0.0 0.0 0.0
5 14000 0 0.0 0.0 0.0
6 17500 0 0.0 0.0 0.0
7 21000 0 0.0 0.0 0.0
8 24500 0 0.0 0.0 0.0
9 28000 0 0.0 0.0 0.0
10 31500 0 0.0 0.0 0.0
11 35000 0 0.0 0.0 0.0
12 38500 0 0.0 0.0 0.0
13 42000 0 0.0 0.0 0.0
14 45500 0 0.0 0.0 0.0
15 49000 0 0.0 0.0 0.0
16 52500 0 0.0 0.0 0.0
17 56000 0 0.0 0.0 0.0
18 59500 0 0.0 0.0 0.0
19 63000 0 0.0 0.0 0.0
20 66500 0 0.0 0.0 0.0
21 70000 0 0.0 0.0 0.0
22 73500 0 0.0 0.0 0.0
23 77000 0 0.0 0.0 0.0
24 80500 0 0.0 0.0 0.0
25 84000 0 0.0 0.0 0.0
26 87500 0 0.0 0.0 0.0
27 91000 0 0.0 0.0 0.0
28 94500 0 0.0 0.0 0.0
29 98000 0 0.0 0.0 0.0
30 101500 0 0.0 0.0 0.0
31 105000 0 0.0 0.0 0.0
32 108500 0 0.0 0.0 0.0
33 112000 0 0.0 0.0 0.0
34 115500 0 0.0 0.0 0.0
35 119000 0 0.0 0.0 0.0
36 122500 0 0.0 0.0 0.0
37 126000 0 0.0 0.0 0.0
38 129500 0 0.0 0.0 0.0
39 133000 0 0.0 0.0 0.0
40 136500 0 0.0 0.0 0.0
41 140000 0 0.0 0.0 0.0
42 143500 0 0.0 0.0 0.0
43 147000 0 0.0 0.0 0.0
44 150500 0 0.0 0.0 0.0
45 154000 0 0.0 0.0 0.0
46 157500 0 0.0 0.0 0.0
47 161000 0 0.0 0.0 0.0
48 164500 0 0.0 0.0 0.0
49 168000 0 0.0 0.0 0.0
50 171500 0 0.0 0.0 0.0
51 175000 0 0.0 0.0 0.0
52 178500 0 0.0 0.0 0.0
53 182000 0 0.0 0.0 0.0
54 185500 0 0.0 0.0 0.0
55 189000 0 0.0 0.0 0.0
56 192500 0 0.0 0.0 0.0
57 196000 0 0.0 0.0 0.0
58 199500 0 0.0 0.0 0.0
59 203000 0 0.0 0.0 0.0
60 206500 0 0.0 0.0 0.0
61 210000 0 0.0 0.0 0.0
62 213500 0 0.0 0.0 0.0
63 217000 0 0.0 0.0 0.0
64 220500 0 0.0 0.0 0.0
65 224000 0 0.0 0.0 0.0
66 227500 0 0.0 0.0 0.0
67 231000 0 0.0 0.0 0.0
68 234500 0 0.0 0.0 0.0
69 238000 0 0.0 0.0 0.0
70 241500 0 0.0 0.0 0.0
71 245000 0 0.0 0.0 0.0
72 248500 0 0.0 0.0 0.0
73 252000 0 0.0 0.0 0.0
74 255500 0 0.0 0.0 0.0
75 259000 0 0.0 0.0 0.0
