# Chunk-averaged data for fix g_avg and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
50000 240 51540.000000000015
  1 0.00208333 216.804 304.258
  2 0.00625 204.256 301.359
  3 0.0104167 226.496 301.569
  4 0.0145833 198.946 296.508
  5 0.01875 222.518 296.713
  6 0.0229167 220.918 302.597
  7 0.0270833 205.06 303.187
  8 0.03125 232.558 300.964
  9 0.0354167 198.68 307.957
  10 0.0395833 219.946 303.021
  11 0.04375 221.634 302.447
  12 0.0479167 204.518 302.194
  13 0.0520833 223.222 303.573
  14 0.05625 199.768 298.703
  15 0.0604167 220.322 299.609
  16 0.0645833 215.75 302.893
  17 0.06875 208.942 299.986
  18 0.0729167 223.218 294.791
  19 0.0770833 200.84 302.272
  20 0.08125 220.344 298.324
  21 0.0854167 219.38 298.209
  22 0.0895833 213.436 297.495
  23 0.09375 220 301.687
  24 0.0979167 199.708 299.79
  25 0.102083 220.49 302.596
  26 0.10625 222.074 296.47
  27 0.110417 203.728 295.423
  28 0.114583 232 301.192
  29 0.11875 199.792 294.616
  30 0.122917 221.712 298.737
  31 0.127083 218.784 300.383
  32 0.13125 201.712 296.054
  33 0.135417 220 297.648
  34 0.139583 202.478 297.546
  35 0.14375 226.736 302.294
  36 0.147917 213.022 300.126
  37 0.152083 208.486 301.31
  38 0.15625 223.278 298.89
  39 0.160417 207.126 296.647
  40 0.164583 231.558 299.311
  41 0.16875 214.768 298.763
  42 0.172917 206.024 300.247
  43 0.177083 226.524 300.54
  44 0.18125 198.398 298.393
  45 0.185417 224.038 302.314
  46 0.189583 219.57 305.589
  47 0.19375 205.304 306.682
  48 0.197917 232.69 297.86
  49 0.202083 198.08 294.385
  50 0.20625 219.452 296.259
  51 0.210417 223.254 293.34
  52 0.214583 203.83 295.005
  53 0.21875 223.384 292.565
  54 0.222917 198.052 297.524
  55 0.227083 219.978 295.741
  56 0.23125 218.79 295.646
  57 0.235417 207.782 293.68
  58 0.239583 223.398 294.704
  59 0.24375 198.022 296.348
  60 0.247917 219.684 292.977
  61 0.252083 224.818 297.524
  62 0.25625 211.476 300.977
  63 0.260417 220 297.437
  64 0.264583 198.006 294.106
  65 0.26875 215.754 296.747
  66 0.272917 231.164 295.213
  67 0.277083 201.076 295.395
  68 0.28125 232 294.085
  69 0.285417 199.166 294.674
  70 0.289583 212.174 299.809
  71 0.29375 232.042 300.478
  72 0.297917 198.618 295.889
  73 0.302083 220 300.767
  74 0.30625 199.542 293.792
  75 0.310417 225.842 298.025
  76 0.314583 218.822 295.533
  77 0.31875 206.49 297.737
  78 0.322917 223.304 299.531
  79 0.327083 206.5 302.039
  80 0.33125 224.678 297.388
  81 0.335417 224.76 301.755
  82 0.339583 203.558 299.504
  83 0.34375 226.504 301.175
  84 0.347917 198.008 296.287
  85 0.352083 215.164 298.466
  86 0.35625 230.75 293.551
  87 0.360417 203.162 295.582
  88 0.364583 232.916 301.586
  89 0.36875 198 296.799
  90 0.372917 209.056 296.814
  91 0.377083 235.57 298.591
  92 0.38125 201.774 297.338
  93 0.385417 223.6 303.031
  94 0.389583 198 300.804
  95 0.39375 214.76 300.908
  96 0.397917 225.192 301.769
  97 0.402083 206.5 304.99
  98 0.40625 223.548 305.473
  99 0.410417 198.002 305.168
  100 0.414583 216.96 306.268
  101 0.41875 227.852 304.363
  102 0.422917 211.186 303.211
  103 0.427083 220 300.381
  104 0.43125 198.016 302.697
  105 0.435417 218.236 304.765
  106 0.439583 229.39 303.779
  107 0.44375 200.358 303.644
  108 0.447917 232 305.89
  109 0.452083 199.216 299.452
  110 0.45625 219.912 306.383
  111 0.460417 224.784 298.919
  112 0.464583 198.088 298.306
  113 0.46875 220 300.143
  114 0.472917 199.408 301.427
  115 0.477083 223.378 300.6
  116 0.48125 221.578 301.008
  117 0.485417 206.142 304.801
  118 0.489583 223.494 299.152
  119 0.49375 205.85 299.608
  120 0.497917 222.986 298.191
  121 0.502083 226.6 296.098
  122 0.50625 203.496 298.894
  123 0.510417 227.068 298.749
  124 0.514583 198.132 299.473
  125 0.51875 216.288 298.538
  126 0.522917 228.504 296.733
  127 0.527083 203.988 294.142
  128 0.53125 233.088 295.469
  129 0.535417 198.136 299.948
  130 0.539583 213.726 294.634
  131 0.54375 228.226 296.281
  132 0.547917 204.446 300.739
  133 0.552083 223.466 295.329
  134 0.55625 198.826 293.631
  135 0.560417 213.26 296.638
  136 0.564583 222.956 295.614
  137 0.56875 209.672 299.174
  138 0.572917 223.286 298.807
  139 0.577083 201.13 297.62
  140 0.58125 219.14 299.268
  141 0.585417 222.004 297.166
  142 0.589583 211.726 301.208
  143 0.59375 220 297.039
  144 0.597917 203.854 300.103
  145 0.602083 219.132 299.954
  146 0.60625 222.054 301.985
  147 0.610417 200.96 297.076
  148 0.614583 232 299.724
  149 0.61875 203.396 297.008
  150 0.622917 221.194 301.496
  151 0.627083 218.984 306.322
  152 0.63125 198.426 298.952
  153 0.635417 220.002 299.184
  154 0.639583 203.436 294.137
  155 0.64375 223.304 298.575
  156 0.647917 217.59 298.27
  157 0.652083 206.302 303.635
  158 0.65625 223.368 302.662
  159 0.660417 207.084 300.844
  160 0.664583 226.372 301.72
  161 0.66875 222.212 301.559
  162 0.672917 203.444 300.259
  163 0.677083 226.886 300.697
  164 0.68125 198.11 298.471
  165 0.685417 220.436 297.566
  166 0.689583 225.33 298.474
  167 0.69375 203.16 301.742
  168 0.697917 232.964 301.785
  169 0.702083 198.032 297.847
  170 0.70625 219.074 303.816
  171 0.710417 225.496 301.347
  172 0.714583 201.958 301.656
  173 0.71875 223.44 301.59
  174 0.722917 198.232 306.704
  175 0.727083 220.392 306.741
  176 0.73125 219.11 300.911
  177 0.735417 206.916 302.695
  178 0.739583 223.35 301.307
  179 0.74375 198.414 301.27
  180 0.747917 221.73 301.644
  181 0.752083 222.084 295.702
  182 0.75625 211.772 297.038
  183 0.760417 220 298.47
  184 0.764583 198.182 303.036
  185 0.76875 221.072 303.608
  186 0.772917 225.264 299.117
  187 0.777083 201.482 298.277
  188 0.78125 232 301.724
  189 0.785417 199.186 301.787
  190 0.789583 220.79 297.513
  191 0.79375 223.168 298.092
  192 0.797917 198.856 294.736
  193 0.802083 220 298.244
  194 0.80625 199.73 299.077
  195 0.810417 234.994 302.17
  196 0.814583 209.806 304.36
  197 0.81875 206.152 300.183
  198 0.822917 223.318 300.378
  199 0.827083 206.89 300.991
  200 0.83125 232.94 298.147
  201 0.835417 216.106 300.17
  202 0.839583 203.746 303.812
  203 0.84375 226.318 300.229
  204 0.847917 198.572 302.019
  205 0.852083 230.062 307.316
  206 0.85625 215.36 304.959
  207 0.860417 203.618 301.822
  208 0.864583 232.388 301.058
  209 0.86875 198.26 301.726
  210 0.872917 224.594 301.681
  211 0.877083 219.906 300.727
  212 0.88125 202.026 304.926
  213 0.885417 223.214 299.124
  214 0.889583 198.456 300.681
  215 0.89375 225.532 304.752
  216 0.897917 214.012 300.573
  217 0.902083 206.676 298.483
  218 0.90625 223.324 297.25
  219 0.910417 198.304 298.848
  220 0.914583 227.964 299.32
  221 0.91875 216.646 304.912
  222 0.922917 211.086 301.638
  223 0.927083 220 298.975
  224 0.93125 198.662 303.294
  225 0.935417 230.36 302.296
  226 0.939583 216.802 301.448
  227 0.94375 200.176 300.246
  228 0.947917 232 298.834
  229 0.952083 200.198 298.527
  230 0.95625 230.44 297.687
  231 0.960417 213.312 301.377
  232 0.964583 198.05 298.239
  233 0.96875 220 299.931
  234 0.972917 201.022 301.665
  235 0.977083 231.332 295.472
  236 0.98125 212.2 301.185
  237 0.985417 206.154 300.151
  238 0.989583 223.292 300.773
  239 0.99375 207.262 304.99
  240 0.997917 231.182 301.751
100000 240 51539.99999999999
  1 0.00208333 216.524 303.681
  2 0.00625 204.522 303.766
  3 0.0104167 226.286 302.738
  4 0.0145833 201.262 303.627
  5 0.01875 222.726 299.979
  6 0.0229167 218.984 302.425
  7 0.0270833 204.728 301.37
  8 0.03125 232.3 303.383
  9 0.0354167 199.598 301.421
  10 0.0395833 220.854 301.413
  11 0.04375 220.918 300.786
  12 0.0479167 203.328 303.479
  13 0.0520833 223.302 300.594
  14 0.05625 199.722 298.941
  15 0.0604167 220.962 303.851
  16 0.0645833 216.422 301.171
  17 0.06875 207.7 302.535
  18 0.0729167 223.194 301.112
  19 0.0770833 200.062 299.912
  20 0.08125 221.932 295.243
  21 0.0854167 219.712 299.705
  22 0.0895833 212.294 301.146
  23 0.09375 220 301.901
  24 0.0979167 200.144 298.808
  25 0.102083 220.466 295.025
  26 0.10625 222.83 290.727
  27 0.110417 202.56 289.718
  28 0.114583 232 294.908
  29 0.11875 200.478 297.23
  30 0.122917 219.966 291.809
  31 0.127083 220.898 292.854
  32 0.13125 200.658 296.444
  33 0.135417 220 297.697
  34 0.139583 201.738 296.694
  35 0.14375 224.574 299.432
  36 0.147917 216.822 303.526
  37 0.152083 207.672 299.332
  38 0.15625 223.194 297.884
  39 0.160417 208.098 295.153
  40 0.164583 227.32 294.607
  41 0.16875 219.424 297.435
  42 0.172917 204.858 298.85
  43 0.177083 226.3 302.287
  44 0.18125 199.46 300.831
  45 0.185417 224.104 301.269
  46 0.189583 219.99 299.471
  47 0.19375 204.006 303.738
  48 0.197917 232.44 301.54
  49 0.202083 198.162 302.271
  50 0.20625 224.442 302.781
  51 0.210417 220.074 299.036
  52 0.214583 201.984 300.433
  53 0.21875 223.338 297.042
  54 0.222917 198.388 298.866
  55 0.227083 229.55 293.824
  56 0.23125 210.052 297.044
  57 0.235417 206.784 301.189
  58 0.239583 223.226 297.018
  59 0.24375 198.892 296.21
  60 0.247917 232.378 295.103
  61 0.252083 211.628 294.886
  62 0.25625 211.102 294.356
  63 0.260417 220 298.209
  64 0.264583 198.564 293.917
